54650-4H100 SECO;54650-4H050;AMORTECEDOR DE FRENTE H1 07-13 F/L;4;59000,00;;;SHB-3571
54660-4H100;;AMORTECEDOR DE FRENTE H1 07-13 F/R;0;59000,00;;;54660-H1000 / SHB-3572
E3560;;AMORTECEDOR DE FRENTE HIACE / PAJERO 09-15 FR HARDBODY;0;32500,00;;;SH-1156 / 344222 / 344294/E3529/344203 / 344285 / E3560 / 1213-0033 / 48511-80101 / SH-1158-G
48531-80660 TOYOTA;48531-28431;AMORTECEDOR DE FRENTE HIACE SAPATILHA;1;18500,00;;;48531-28431
E3474 TOKICO;;AMORTECEDOR DE FRENTE HILUX 2.8 HIACE/PAJERO/L200 90-04;0;32000,00;;;SH-1156 344200 344317
48511-39866 TOYOTA;;AMORTECEDOR DE FRENTE HILUX 88-97;2;32500,00;;;48511-39865
U3768 TOKICO;;AMORTECEDOR DE FRENTE HILUX VIGO / FORTUNER 04- FR;4;57500,00;;;341344 / 3213-0170 / 48510-60100 / 341372/ U3768 TOKICO / SHU-8112
U3768 SENSES;;AMORTECEDOR DE FRENTE HILUX VIGO / FORTUNER 04- FR;36;24000,00;;;341344 / 3213-0170 / 48510-60100 / 341372/ U3768 TOKICO / SHU-8112 / U3768
U3768;;AMORTECEDOR DE FRENTE HILUX VIGO / FORTUNER 04- FR;0;65000,00;;;
333507 HHK;;AMORTECEDOR DE FRENTE HYUNDAI GETZ 02-10;2;25000,00;;;
333506 HHK;;AMORTECEDOR DE FRENTE HYUNDAI GETZ 02-10;2;25000,00;;;
54650-H1000 KOYOBA;;AMORTECEDOR DE FRENTE HYUNDAI H1 07-13 F/L;0;40000,00;;;54650-4H100
54660-H1000 KOYOBA;;AMORTECEDOR DE FRENTE HYUNDAI H1 07-13 F/R;0;40000,00;;;54660-4H100
334501 KOYOBA;;AMORTECEDOR DE FRENTE HYUNDAI SANTAFE 01-05 L;0;30000,00;;;
334500 KOYOBA;;AMORTECEDOR DE FRENTE HYUNDAI SANTAFE 01-05 R;0;30000,00;;;
54650-0X100 SECO;SSHD-113;AMORTECEDOR DE FRENTE I10 2007-2010 F/L;2;45000,00;;;54650-10100 CAR:PICANTO / 54650-0X200 / SHB-3061
54660-0X100 SECO;;AMORTECEDOR DE FRENTE I10 2007-2010 F/R;0;45000,00;;;54660-10100 CAR:PICANTO / SHB-3060
54650-1J100 AG;SHB-3583;AMORTECEDOR DE FRENTE I20 08-12 F/L;1;40000,00;;;SHB-3583
54660-1J100 AG;SHB-3584;AMORTECEDOR DE FRENTE I20 08-12 F/R;1;40000,00;;;SHB-3584
343287 BYK;;AMORTECEDOR DE FRENTE JIMNY 98-FRONT;0;35000,00;;;SH-1372 G
54650-G6000 MANDO;;AMORTECEDOR DE FRENTE KIA MORNING 2017;1;70000,00;;;
54660-G6000 MANDO;;AMORTECEDOR DE FRENTE KIA MORNING 2017;1;70000,00;;;
54650-1W100;;AMORTECEDOR DE FRENTE KIA RIO 12-13 F/L;0;44000,00;;;SHB-3651
54660-1W100;;AMORTECEDOR DE FRENTE KIA RIO 12-13 F/R;0;44000,00;;;SHB-3652
A01101 MANDO;;AMORTECEDOR DE FRENTE KIA RIO/ACCENT A/M;0;45000,00;;;54650-1E000 54651-1M000 / 54650-1G200
A01100 MANDO;;AMORTECEDOR DE FRENTE KIA RIO/ACCENT A/M;0;45000,00;;;54660-1E000 54661-1M000 / 54660-1G200
54660-1G200 KOYOBA;;AMORTECEDOR DE FRENTE KIA RIO/ACCENT A/M L;0;32000,00;;;A01100/54660-1G200/54661/1M000
54650-1G200 KOYOBA;;AMORTECEDOR DE FRENTE KIA RIO/ACCENT A/M R;0;32000,00;;;A01101/54650-1G200/54651-1M000
54650-B2040;;AMORTECEDOR DE FRENTE KIA SOUL 14- F/L;0;63500,00;;;
54660-B2040;;AMORTECEDOR DE FRENTE KIA SOUL 14- F/R;0;63500,00;;;
345044 GLOBAL;GAP2790253;AMORTECEDOR DE FRENTE L/CRUISER 07-14 HZJ78 FR;2;55200,00;;;E4120 / GAP2790253 / 48511-69665 / 48511-60520 / 48511-60541 / 48511-69495 / 48511-69685 / 48511-69645 / SH-1361-G
E4096;;AMORTECEDOR DE FRENTE L/CRUISER 1HZ FZJ80 90-97 FR;0;60000,00;;;BICO BICO / 345020 / SH-1193-G / 48511-69665 / 48511-69187
E4108 TOYOTA;48511-69625;AMORTECEDOR DE FRENTE L/CRUISER 98-07 FR;8;50000,00;;;345022 / SH-1198-G / 48511-69585 / 48511-60492
E3373 TOKICO;;AMORTECEDOR DE FRENTE L/CRUISER FJ75 85-90 FR;0;27800,00;;;E3253 / E3373 / 3253 / 3373 / 1213-0028 KYB:344060 SA2786 / 444114 / 48511-60120 / SH-1128-G
U4127 KOYOBA;;AMORTECEDOR DE FRENTE L/CRUISER UZJ200 08-13 FR / LUX570;1;45000,00;;;48510-69365 /340062/48510-69335 / SHU-8218
U4127 TOYOTA;48510-69365;AMORTECEDOR DE FRENTE L/CRUISER UZJ200 08-13 FR / LX570;8;60000,00;;;48510-69365 /340062/48510-69335 / 48510-60150 / SHU-8218
MR992321;;AMORTECEDOR DE FRENTE L200 06-13 4WD FR;0;45000,00;;;TOCIKO:Q3784 / KYB: 340033 / SHU-8146
E3397 TOKICO;;AMORTECEDOR DE FRENTE L200 2WD 80-97 FR /;9;25000,00;;;3397 / E3397 / 444022 / 3353 / 444223 / 444224 / 3151 / 3207 / SH-1138 / SH-1022-G
333181 KYB;;AMORTECEDOR DE FRENTE MAZDA 323 95-98 R/L;1;30000,00;;;
333180 KYB;;AMORTECEDOR DE FRENTE MAZDA 323 95-98 R/R;1;30000,00;;;
B3078 TOKICO;;AMORTECEDOR DE FRENTE MAZDA 626 L;0;30000,00;;;
B3079 TOKICO;;AMORTECEDOR DE FRENTE MAZDA 626 R;0;30000,00;;;
